transmisor_id,puntos_original,puntos_simplificado,puntos_eliminados,tasa_simplificacion,tasa_retencion
241136,170,132,38,22.4,77.6
241137,83,58,25,30.1,69.9
241138,55,45,10,18.2,81.8
241139,124,99,25,20.2,79.8
241140,93,70,23,24.7,75.3
241141,92,71,21,22.8,77.2
241142,68,51,17,25.0,75.0
241143,83,61,22,26.5,73.5
TOTAL,768,587,181,23.6,76.4
